brand,model,price,year,kilometers,power,link
Ford,Ka,19900,2000,155000,44,/osobni/detail/ford/ka/18616627?goFrom=list
Peugeot,206,19900,2000,170500,55,/osobni/detail/peugeot/206/18474763?goFrom=list
Fiat,Punto,19900,2000,177000,44,/osobni/detail/fiat/punto/17799029?goFrom=list
Peugeot,206,19900,2000,180022,44,/osobni/detail/peugeot/206/18773954?goFrom=list
Citroën,Xsara Picasso,19900,2000,180500,85,/osobni/detail/citroen/xsara-picasso/10213302?goFrom=list
Hyundai,Atos,19900,2000,180992,40,/osobni/detail/hyundai/atos/18805340?goFrom=list
Suzuki,Alto,19990,2005,137000,46,/osobni/detail/suzuki/alto/18122242?goFrom=list
Škoda,Fabia,19990,2005,138000,40,/osobni/detail/skoda/fabia/18774009?goFrom=list
Renault,Mégane,19990,2003,194000,72,/osobni/detail/renault/megane/18682638?goFrom=list
Volkswagen,Fox,19995,2005,141000,40,/osobni/detail/volkswagen/fox/18770242?goFrom=list
Chevrolet,Spark,19999,2005,91420,38,/osobni/detail/chevrolet/spark/18804767?goFrom=list
Hyundai,Getz,19999,2004,164000,46,/osobni/detail/hyundai/getz/18262238?goFrom=list
Ford,Fiesta,19999,2002,77698,37,/osobni/detail/ford/fiesta/17714270?goFrom=list
Daewoo,Matiz,19999,2002,83254,37,/osobni/detail/daewoo/matiz/18683326?goFrom=list
Fiat,Punto,19999,2002,105000,44,/osobni/detail/fiat/punto/18648001?goFrom=list
Renault,Clio,19999,2002,157000,43,/osobni/detail/renault/clio/17961804?goFrom=list
Mitsubishi,Space Star,19999,2001,153004,75,/osobni/detail/mitsubishi/space-star/18503227?goFrom=list
Peugeot,307,19999,2001,196000,66,/osobni/detail/peugeot/307/18811834?goFrom=list
Nissan,Almera,19999,2000,156000,66,/osobni/detail/nissan/almera/18810695?goFrom=list
Dacia,Logan,20000,2005,120861,55,/osobni/detail/dacia/logan/18802023?goFrom=list
Renault,Clio,20000,2005,137600,43,/osobni/detail/renault/clio/16704711?goFrom=list
Suzuki,Liana,20000,2004,185778,78,/osobni/detail/suzuki/liana/18773359?goFrom=list
Hyundai,Accent,20000,2003,144344,61,/osobni/detail/hyundai/accent/18705059?goFrom=list
Ford,Ka,20000,2003,126474,44,/osobni/detail/ford/ka/18647171?goFrom=list
Opel,Agila,20000,2003,156065,43,/osobni/detail/opel/agila/18625236?goFrom=list
Citroën,Saxo,20000,2003,173000,44,/osobni/detail/citroen/saxo/18742872?goFrom=list
Suzuki,Swift,20000,2002,77331,39,/osobni/detail/suzuki/swift/18537972?goFrom=list
Seat,Ibiza,20000,2002,116039,47,/osobni/detail/seat/ibiza/18751638?goFrom=list
Fiat,Punto,20000,2002,129625,44,/osobni/detail/fiat/punto/18807976?goFrom=list
Citroën,Saxo,20000,2002,139000,44,/osobni/detail/citroen/saxo/18810287?goFrom=list
Citroën,Saxo,20000,2002,141540,44,/osobni/detail/citroen/saxo/16872481?goFrom=list
Ford,Focus,20000,2002,167385,74,/osobni/detail/ford/focus/18741398?goFrom=list
Seat,Ibiza,20000,2002,181925,47,/osobni/detail/seat/ibiza/18797237?goFrom=list
Citroën,Xsara Picasso,20000,2002,193904,66,/osobni/detail/citroen/xsara-picasso/18777577?goFrom=list
Opel,Astra,20000,2002,195000,74,/osobni/detail/opel/astra/18805834?goFrom=list
Volkswagen,Golf,20000,2002,196419,81,/osobni/detail/volkswagen/golf/18678338?goFrom=list
Peugeot,206,20000,2001,135973,44,/osobni/detail/peugeot/206/18805271?goFrom=list
Suzuki,Baleno,20000,2001,187000,70,/osobni/detail/suzuki/baleno/16367558?goFrom=list
Škoda,Fabia,20000,2001,198005,50,/osobni/detail/skoda/fabia/18802018?goFrom=list
Škoda,Fabia,20000,2001,198005,50,/osobni/detail/skoda/fabia/18802019?goFrom=list
Peugeot,206,20000,2000,182732,55,/osobni/detail/peugeot/206/18735402?goFrom=list
Škoda,Felicia,20000,2000,131113,50,/osobni/detail/skoda/felicia/18740970?goFrom=list
Renault,Scénic,20000,2000,150139,63,/osobni/detail/renault/scenic/18776798?goFrom=list
Škoda,Fabia,20000,2000,164000,44,/osobni/detail/skoda/fabia/18798911?goFrom=list
Škoda,Felicia,20000,2000,187916,47,/osobni/detail/skoda/felicia/18769067?goFrom=list
Škoda,Fabia,20000,2000,192000,50,/osobni/detail/skoda/fabia/18799729?goFrom=list
Fiat,Punto,20000,2000,198300,59,/osobni/detail/fiat/punto/18053695?goFrom=list
Škoda,Fabia,21000,2002,121736,40,/osobni/detail/skoda/fabia/18803813?goFrom=list
Fiat,Punto,21000,2001,164000,59,/osobni/detail/fiat/punto/17920171?goFrom=list
Renault,Twingo,21900,2003,195812,43,/osobni/detail/renault/twingo/18715455?goFrom=list
Seat,Arosa,21900,2000,121024,37,/osobni/detail/seat/arosa/18805685?goFrom=list
Alfa Romeo,166,21900,2000,147000,100,/osobni/detail/alfa-romeo/166/18233983?goFrom=list
Dacia,Logan,21990,2005,178000,64,/osobni/detail/dacia/logan/18666655?goFrom=list
Ford,Ka,22000,2007,87590,51,/osobni/detail/ford/ka/18211695?goFrom=list
Hyundai,Matrix,22000,2007,143777,76,/osobni/detail/hyundai/matrix/18761461?goFrom=list
Peugeot,206,22000,2006,134000,55,/osobni/detail/peugeot/206/18105290?goFrom=list
Renault,Thalia,22000,2004,145473,55,/osobni/detail/renault/thalia/18794113?goFrom=list
Renault,Clio,22000,2004,156447,43,/osobni/detail/renault/clio/18677979?goFrom=list
Kia,Cerato,22000,2004,156800,82,/osobni/detail/kia/cerato/18769608?goFrom=list
Renault,Thalia,22000,2004,167897,48,/osobni/detail/renault/thalia/18094994?goFrom=list
Renault,Twingo,22000,2003,129796,55,/osobni/detail/renault/twingo/18584982?goFrom=list
Škoda,Fabia,22000,2003,147891,47,/osobni/detail/skoda/fabia/18803559?goFrom=list
Nissan,Micra,22000,2003,168000,65,/osobni/detail/nissan/micra/18102035?goFrom=list
Nissan,Micra,22000,2002,125000,44,/osobni/detail/nissan/micra/18681632?goFrom=list
Škoda,Fabia,22000,2002,134362,44,/osobni/detail/skoda/fabia/18808972?goFrom=list
Fiat,Punto,22000,2002,134800,44,/osobni/detail/fiat/punto/18793750?goFrom=list
Renault,Thalia,22000,2002,136552,55,/osobni/detail/renault/thalia/18776014?goFrom=list
Renault,Mégane,22000,2002,138153,0,/osobni/detail/renault/megane/18602739?goFrom=list
Škoda,Fabia,22000,2002,169000,40,/osobni/detail/skoda/fabia/18625563?goFrom=list
Fiat,Punto,22000,2002,182000,44,/osobni/detail/fiat/punto/18796491?goFrom=list
Peugeot,307,22000,2002,193841,80,/osobni/detail/peugeot/307/18811410?goFrom=list
Citroën,Xsara,22000,2001,165027,80,/osobni/detail/citroen/xsara/17296559?goFrom=list
Peugeot,206,22300,2004,100420,65,/osobni/detail/peugeot/206/18730858?goFrom=list
Peugeot,206,22400,2003,151150,44,/osobni/detail/peugeot/206/18798716?goFrom=list
Renault,Laguna,22500,2002,167868,88,/osobni/detail/renault/laguna/18801139?goFrom=list
Chevrolet,Spark,22800,2007,98820,38,/osobni/detail/chevrolet/spark/18809282?goFrom=list
Hyundai,Getz,22900,2007,163634,48,/osobni/detail/hyundai/getz/18314800?goFrom=list
Hyundai,Getz,22900,2005,166372,62,/osobni/detail/hyundai/getz/18407438?goFrom=list
Renault,Thalia,22900,2004,134000,55,/osobni/detail/renault/thalia/18159228?goFrom=list
Suzuki,Alto,22900,2002,59147,46,/osobni/detail/suzuki/alto/18622490?goFrom=list
Renault,Twingo,22900,2002,181428,55,/osobni/detail/renault/twingo/17945364?goFrom=list
Citroën,Xsara,22900,2001,182913,55,/osobni/detail/citroen/xsara/18721754?goFrom=list
Hyundai,Getz,22999,2008,59578,49,/osobni/detail/hyundai/getz/18763797?goFrom=list
Ford,Fiesta,22999,2003,180644,50,/osobni/detail/ford/fiesta/18684343?goFrom=list
Mitsubishi,Space Star,22999,2000,184334,61,/osobni/detail/mitsubishi/space-star/18221583?goFrom=list
Renault,Clio,22999,2000,198081,55,/osobni/detail/renault/clio/17644003?goFrom=list
Chevrolet,Spark,23000,2006,75000,38,/osobni/detail/chevrolet/spark/18701945?goFrom=list
Opel,Corsa,23000,2005,139000,44,/osobni/detail/opel/corsa/18625896?goFrom=list
Chevrolet,Kalos,23000,2005,148243,53,/osobni/detail/chevrolet/kalos/18734995?goFrom=list
Fiat,Punto,23000,2005,150356,44,/osobni/detail/fiat/punto/18667794?goFrom=list
Daewoo,Kalos,23000,2004,138241,53,/osobni/detail/daewoo/kalos/18807418?goFrom=list
Renault,Mégane,23000,2004,147000,88,/osobni/detail/renault/megane/18619257?goFrom=list
Suzuki,Swift,23000,2003,72385,39,/osobni/detail/suzuki/swift/18809441?goFrom=list
Suzuki,Swift,23000,2003,144964,39,/osobni/detail/suzuki/swift/18783602?goFrom=list
Nissan,Micra,23000,2003,199190,65,/osobni/detail/nissan/micra/18781959?goFrom=list
Renault,Mégane,23000,2002,182300,70,/osobni/detail/renault/megane/18788390?goFrom=list
Opel,Corsa,23000,2001,197000,0,/osobni/detail/opel/corsa/18781656?goFrom=list
Citroën,Xsara Picasso,23000,2001,197062,85,/osobni/detail/citroen/xsara-picasso/18806026?goFrom=list
Volkswagen,Golf,23000,2001,199360,77,/osobni/detail/volkswagen/golf/18810483?goFrom=list
Hyundai,Atos,23000,2000,125734,40,/osobni/detail/hyundai/atos/18727989?goFrom=list
Lancia,Lybra,23000,2000,170000,113,/osobni/detail/lancia/lybra/18743908?goFrom=list
Renault,Mégane,23000,2000,193000,79,/osobni/detail/renault/megane/18664783?goFrom=list
Škoda,Fabia,23500,2003,193036,47,/osobni/detail/skoda/fabia/18715251?goFrom=list
Opel,Corsa,23700,2004,186000,55,/osobni/detail/opel/corsa/18535224?goFrom=list
Fiat,Punto,23800,2005,108000,70,/osobni/detail/fiat/punto/18740340?goFrom=list
Renault,Thalia,23900,2003,164000,0,/osobni/detail/renault/thalia/18801144?goFrom=list
Renault,Twingo,23900,2000,185925,43,/osobni/detail/renault/twingo/17792735?goFrom=list
Renault,Mégane,23990,2000,117000,79,/osobni/detail/renault/megane/18075322?goFrom=list
Alfa Romeo,147,23999,2001,195000,85,/osobni/detail/alfa-romeo/147/17689357?goFrom=list
Renault,Thalia,24000,2008,134520,55,/osobni/detail/renault/thalia/18743815?goFrom=list
Peugeot,206,24000,2005,162051,50,/osobni/detail/peugeot/206/18777493?goFrom=list
Chevrolet,Matiz,24000,2005,90900,38,/osobni/detail/chevrolet/matiz/18653103?goFrom=list
Chevrolet,Spark,24000,2005,103500,38,/osobni/detail/chevrolet/spark/18711767?goFrom=list
Hyundai,Accent,24000,2005,157000,63,/osobni/detail/hyundai/accent/18772167?goFrom=list
Škoda,Fabia,24000,2004,81300,40,/osobni/detail/skoda/fabia/18770978?goFrom=list
Dacia,Logan,24000,2004,135893,55,/osobni/detail/dacia/logan/18806892?goFrom=list
Renault,Thalia,24000,2004,141000,55,/osobni/detail/renault/thalia/18802053?goFrom=list
Peugeot,206,24000,2002,144100,50,/osobni/detail/peugeot/206/18510309?goFrom=list
Suzuki,Swift,24000,2001,144917,39,/osobni/detail/suzuki/swift/18753962?goFrom=list
Opel,Corsa,24000,2001,169149,43,/osobni/detail/opel/corsa/16960707?goFrom=list
Toyota,Corolla,24000,2000,197981,71,/osobni/detail/toyota/corolla/18747482?goFrom=list
Citroën,Xsara,24000,2000,125000,55,/osobni/detail/citroen/xsara/18782488?goFrom=list
Citroën,C3,24500,2005,177353,44,/osobni/detail/citroen/c3/18807538?goFrom=list
Škoda,Fabia,24500,2003,150000,47,/osobni/detail/skoda/fabia/18743075?goFrom=list
Mitsubishi,Space Star,24777,2000,185000,90,/osobni/detail/mitsubishi/space-star/16628076?goFrom=list
Fiat,Punto,24800,2004,105000,44,/osobni/detail/fiat/punto/18806421?goFrom=list
Fiat,Punto,24800,2003,129000,44,/osobni/detail/fiat/punto/18719430?goFrom=list
Volkswagen,Polo,24800,2003,152000,47,/osobni/detail/volkswagen/polo/17998905?goFrom=list
Škoda,Fabia,24800,2003,179604,40,/osobni/detail/skoda/fabia/18617664?goFrom=list
Citroën,C5,24800,2003,185000,100,/osobni/detail/citroen/c5/18755883?goFrom=list
Opel,Astra,24800,2002,195896,66,/osobni/detail/opel/astra/18806897?goFrom=list
